,Obama-care revision    Yes,Obama-care revision    No,Tax Cuts    Yes,Tax Cuts   No,Dodd-Frank revision   Yes,Dodd-Rank revision    No,Omnibus appropriations  Yes,Omnibus appropirations    No,Gun regulatons    Yes,Gun regulatons    No,Family planning regs    Yes,Family planning regs   No,Gorsuch confirmation   Yes,Gorsuch confirmation    No,Immigration restrictions  Yes,Immigration restrictions    No,Kavanaugh confirmatuib   Yes,Kavanaugh confirmation    No,Saudi arms sales    Yes,Saudi arms sales   No,FISA rules   Yes,FISA rules    No,Military aid in Yemen  Yes,Military aid in Yemen    No,
Shelby; Richard (R Alabama),1,,1,,1,,1,,1,,1,,1,,1,,1,,,1,1,,,1,12
Jones; Doug (D Alabama),,,,,1,,1,,,,,,,,,1,,1,,,1,,1,,6
Murkowski (R Alaska),,1,1,,1,,1,,1,,,1,1,,,1,,,,1,,1,,1,11
Sullivan; Dan (R Alaska),1,,1,,1,,,1,1,,1,,1,,1,,1,,,1,,,,1,11
Sinema; Kyrsten (D Arizona),,1,,1,1,,1,,,1,1,,,1,,1,,1,,1,1,,1,,12
McSally; Martha (R Arizona),1,,1,,1,,1,,1,,,1,,1,1,,,1,,1,1,,1,,12
Boosman; John (R Arkansas),1,,1,,1,,1,,1,,1,,1,,1,,1,,,1,1,,,1,12
Cotton; Tom (R Arkansas),1,,1,,1,,,1,1,,1,,1,,1,,1,,,1,1,,,1,12
Feinstein; Dianne (D California),,1,,1,,1,,1,,1,,1,,1,,1,,1,1,,1,,1,,12
Harris; Kamala (D California),,1,,1,,1,,1,,1,,1,,1,,1,,1,1,,,1,1,,12
Bennet; Michcael (D Colorado),,1,,1,1,,1,,,1,,1,,1,,1,,1,1,,,1,1,,12
Gardner; Ccory (R Colorado),1,,1,,1,,,1,1,,1,,1,,1,,1,,,1,,1,,1,12
Blumenthal; Richard (D Connecticut),,1,,1,,1,1,,,1,,1,,1,,1,,1,1,,,1,1,,12
Murphy; Chris (D Connecticut),,1,,1,,1,1,,,1,,1,,1,,1,,1,1,,,1,1,,12
Carper];  Tom (D Delaware),,1,,1,1,,1,,,1,,1,,1,,1,,1,1,,1,,1,,12
Coons; Chris (D Delaware),,1,,1,1,,1,,,1,,1,,1,,1,,1,1,,,1,1,,12
Rubio; Marco (R Florida),1,,1,,1,,1,,1,,1,,1,,1,,1,,,1,1,,,1,12
Isakson; Johnny (R Georgia),1,,1,,1,,1,,1,,1,,,,1,,1,,,1,1,,,1,11
Perdue; David (R Georgia),1,,1,,1,,,1,1,,1,,1,,1,,1,,,1,1,,,1,12
Schat; Brian (D Hawaii),,1,,1,,1,1,,,1,,1,,1,,1,,1,1,,,1,1,,12
Hirono; Mazie (D Hawaii),,1,,1,,1,1,,,1,,1,,1,,1,,1,1,,,1,1,,12
Crapo; Mike (R Idaho),1,,1,,1,,,1,1,,1,,1,,1,,1,,,1,1,,,1,12
Risch; Jim (R Idaho),1,,1,,1,,,1,1,,1,,1,,1,,1,,,1,1,,,1,12
Durbin; Dick (D Illinois),,1,,1,,1,1,,,1,,1,,1,,1,,1,1,,,1,1,,12
Tuckworth; Tammy (D Illinois),,1,,1,,1,1,,,1,,1,,1,,1,,1,1,,1,,1,,12
Young; Todd (R Indiana),1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,12
Grassley; Chuck  (R Iowa),1,,1,,1,,,1,1,,1,,1,,1,,1,,,1,1,,,1,12
Ernst; Joni (R Iowa),1,,1,,1,,,1,1,,1,,1,,1,,1,,,1,1,,,1,12
Robers; Pat  (R Kansas),1,,1,,1,,1,,1,,1,,1,,1,,1,,,1,1,,,1,12
Moran; Jerry (R Kansas),1,,1,,1,,1,,1,,1,,1,,,1,1,,,1,,1,1,,12
McConnell; Mitch (R Kentucky),1,,1,,1,,1,,1,,1,,1,,1,,1,,,1,1,,,1,12
Paul; Rand (R Kentucky),1,,1,,1,,,1,1,,1,,1,,,1,1,,1,,,1,1,,12
Cassidy; Bill (R Louisiana),1,,1,,1,,,1,1,,1,,1,,1,,1,,,1,1,,,1,12
Kennedy; John (R Louisiana),1,,1,,1,,,1,1,,1,,1,,,1,1,,,1,1,,,1,12
Collins; Susan (R Maine),,1,1,,1,,1,,1,,,1,1,,,1,1,,,1,1,,1,,12
King; Angus (I Maine),,1,,1,1,,1,,1,,,1,,1,,1,,1,1,,1,,1,,12
Cardin; Ben (D Maryland),,1,,1,,1,1,,,1,,1,,1,,1,,1,1,,,1,1,,12
Van Hollen; Chris (D Maryland),,1,,1,,1,1,,,1,,1,,1,,1,,1,1,,,1,1,,12
Warren; Elizabeth (D Massachusetts),,1,,1,,1,1,,,1,,1,,1,,1,,1,1,,,1,1,,12
Markey; Ed (D Massachusetts),,1,,1,,1,,1,,1,,1,,1,,1,,1,1,,,1,1,,12
Stabenow; Debbie (D Michigan),,1,,1,1,,1,,,1,,1,,1,,1,,1,1,,,1,1,,12
Peters; Gary (D Michigan),,1,,1,1,,1,,,1,,1,,1,,1,,1,1,,1,,1,,12
Klobuchar; Amy. (D Minnesota),,1,,1,,1,1,,,1,,1,,1,,1,,1,1,,1,,1,,12
Smith; Tina (D Minnesota),,,,,,1,1,,,,,,,,,1,,1,,,,1,1,,6
Wicker; Roger (R Mississippi),1,,1,,1,,1,,1,,1,,1,,1,,1,,,1,1,,,1,12
Hyide-Smith; Cindy (R Mississippi),,,,,,,,,,,,,,,,,1,,,,,,,1,2
Blunt; Roy (R Missouri),1,,1,,1,,1,,1,,1,,1,,1,,1,,,1,1,,,1,12
Tester; Jon (D Montana),,1,,1,1,,1,,1,,,1,,1,,1,,1,1,,,1,1,,12
Daines; Steve (R  Montana),1,,1,,1,,,1,1,,1,,1,,,1,,,,1,,1,1,,11
Fischer; Debbie (R  Nebraska),1,,1,,1,,,1,1,,1,,1,,1,,1,,,1,1,,,1,12
Sasse; Ben (R Nebraska),1,,1,,1,,,1,1,,1,,1,,,1,1,,,1,1,,,1,12
Cortez Masto; Catherine (D Nevada),,1,,1,,1,1,,,1,,1,,1,,1,,1,1,,1,,1,,12
Rosen; Jacky (D Nevada),,1,,1,,1,1,,,1,,1,,,,1,,1,,1,1,,1,,11
Shaheen; Jeanne (D New Hampshire),,1,,1,1,,1,,,1,,1,,1,,1,,1,1,,1,,1,,12
Hassan; Maggie (D New Hampshire),,1,,1,1,,1,,,1,,1,,1,,1,,1,1,,1,,1,,12
Menendez; Bob (D New Jersey),,1,,1,,1,1,,,1,,1,,1,,1,,1,1,,,1,1,,12
Booker; Cory (D New Jersey),,1,,1,,1,,1,,1,,1,,1,,1,,1,1,,,1,1,,12
Udall; Tom (D New Mexico),,1,,1,,1,1,,,1,,1,,1,,1,,1,1,,,1,1,,12
Heinrich; Martin (D New Mexico),,1,,1,,,1,,,1,,1,,1,,1,,1,1,,,1,1,,11
Schumer; chuck (D New York),,1,,1,,1,1,,,1,,1,,1,,1,,1,1,,,1,1,,12
Gillibrand; Kirsten (D New York),,1,,1,,1,,1,,1,,1,,1,,1,,1,1,,,1,1,,12
Burr; Richard (R North Carolina),1,,1,,1,,,,1,,1,,1,,1,,1,,,1,1,,,1,11
Tillis; Thom (R North Carolina),1,,1,,1,,,1,1,,1,,1,,1,,1,,,1,1,,,,11
Hoeven; John (R North Dakota),1,,1,,1,,1,,1,,1,,1,,1,,1,,,1,1,,,1,12
