,Americans,StAndrewsLodge,LoyalNine,NorthCaucus,LongRoomClub,TeaParty,BostonCommittee,LondonEnemies
Adams.John,1,0.5,0.5,1,1,0.5,0.5,0.5
Adams.Samuel,1,0.5,0.5,1,1,0.5,1,1
Allen.Dr,1,0.5,0.5,1,0.5,0.5,0.5,0.5
Appleton.Nathaniel,1,0.5,0.5,1,0.5,0.5,1,0.5
Ash.Gilbert,1,1,0.5,0.5,0.5,0.5,0.5,0.5
Austin.Benjamin,1,0.5,0.5,0.5,0.5,0.5,0.5,1
Austin.Samuel,1,0.5,0.5,0.5,0.5,0.5,0.5,1
Avery.John,1,0.5,1,0.5,0.5,0.5,0.5,1
Baldwin.Cyrus,1,0.5,0.5,0.5,0.5,0.5,0.5,1
Ballard.John,1,0.5,0.5,1,0.5,0.5,0.5,0.5
Barber.Nathaniel,1,0.5,0.5,1,0.5,1,1,1
Barnard.Samuel,1,0.5,0.5,0.5,0.5,1,0.5,0.5
Barrett.Samuel,1,1,0.5,0.5,0.5,0.5,0.5,1
Bass.Henry,1,0.5,1,1,0.5,1,0.5,1
Bell.William,1,1,0.5,0.5,0.5,0.5,0.5,0.5
Blake.Increase,1,1,0.5,0.5,0.5,0.5,0.5,0.5
Boit.John,1,0.5,0.5,1,0.5,0.5,0.5,0.5
Bolter.Thomas,1,0.5,0.5,0.5,0.5,1,0.5,0.5
Boyer.Peter,1,0.5,0.5,0.5,0.5,0.5,0.5,1
Boynton.Richard,1,0.5,0.5,0.5,0.5,0.5,1,1
Brackett.Jos,1,0.5,0.5,0.5,0.5,0.5,0.5,1
Bradford.John,1,0.5,0.5,0.5,0.5,0.5,1,1
Bradlee.David,1,0.5,0.5,0.5,0.5,1,0.5,0.5
Bradlee.Josiah,1,0.5,0.5,0.5,0.5,1,0.5,0.5
Bradlee.Nathaniel,1,0.5,0.5,0.5,0.5,1,0.5,0.5
Bradlee.Thomas,1,0.5,0.5,0.5,0.5,1,0.5,0.5
Bray.George,1,1,0.5,0.5,0.5,0.5,0.5,0.5
Breck.William,1,0.5,0.5,1,0.5,0.5,0.5,0.5
Bewer.James,1,0.5,0.5,0.5,0.5,1,0.5,0.5
Brimmer.Herman,1,0.5,0.5,0.5,0.5,0.5,0.5,1
Brimmer.Martin,1,0.5,0.5,0.5,0.5,0.5,0.5,1
Broomfield.Henry,1,0.5,0.5,0.5,0.5,0.5,0.5,1
Brown.Hugh,1,1,0.5,0.5,0.5,0.5,0.5,0.5
