,Americans,StAndrewsLodge,LoyalNine,NorthCaucus,LongRoomClub,TeaParty,BostonCommittee,LondonEnemies
Adams.John,1,0,0,1,1,0,0,0
Adams.Samuel,1,0,0,1,1,0,1,1
Allen.Dr,1,0,0,1,0,0,0,0
Appleton.Nathaniel,1,0,0,1,0,0,1,0
Ash.Gilbert,1,1,0,0,0,0,0,0
Austin.Benjamin,1,0,0,0,0,0,0,1
Austin.Samuel,1,0,0,0,0,0,0,1
Avery.John,1,0,1,0,0,0,0,1
Baldwin.Cyrus,1,0,0,0,0,0,0,1
Ballard.John,1,0,0,1,0,0,0,0
Barber.Nathaniel,1,0,0,1,0,1,1,1
Barnard.Samuel,1,0,0,0,0,1,0,0
Barrett.Samuel,1,1,0,0,0,0,0,1
Bass.Henry,1,0,1,1,0,1,0,1
Bell.William,1,1,0,0,0,0,0,0
Blake.Increase,1,1,0,0,0,0,0,0
Boit.John,1,0,0,1,0,0,0,0
Bolter.Thomas,1,0,0,0,0,1,0,0
Boyer.Peter,1,0,0,0,0,0,0,1
Boynton.Richard,1,0,0,0,0,0,1,1
Brackett.Jos,1,0,0,0,0,0,0,1
Bradford.John,1,0,0,0,0,0,1,1
Bradlee.David,1,0,0,0,0,1,0,0
Bradlee.Josiah,1,0,0,0,0,1,0,0
Bradlee.Nathaniel,1,0,0,0,0,1,0,0
Bradlee.Thomas,1,0,0,0,0,1,0,0
Bray.George,1,1,0,0,0,0,0,0
Breck.William,1,0,0,1,0,0,0,0
Bewer.James,1,0,0,0,0,1,0,0
Brimmer.Herman,1,0,0,0,0,0,0,1
Brimmer.Martin,1,0,0,0,0,0,0,1
Broomfield.Henry,1,0,0,0,0,0,0,1
Brown.Hugh,1,1,0,0,0,0,0,0
Brown.Enoch,1,0,0,0,0,0,0,1
Brown.John,1,0,0,0,0,0,0,1
Bruce.Stephen,1,0,0,0,0,1,0,0
Burbeck.Edward,1,1,0,0,0,0,0,0
Burbeck.William,1,1,0,0,0,0,0,0
Burt.Benjamin,1,0,0,1,0,0,0,0
Burton.Benjamin,1,0,0,0,0,1,0,0
Cailleteau.Edward,1,1,0,0,0,0,0,0
Callendar.Elisha,1,1,0,0,0,0,0,0
Campbell.Nicholas,1,0,0,0,0,1,0,0
Cazneau.Capt,1,0,0,1,0,0,0,0
Chadwell.Mr,1,0,0,1,0,0,0,0
Champney.Caleb,1,0,0,1,0,0,0,0
Chase.Thomas,1,0,1,1,0,1,0,1
Cheever.Ezekiel,1,0,0,1,0,0,0,1
Chipman.Seth,1,1,0,0,0,0,0,0
Chrysty.Thomas,1,0,0,1,0,0,0,0
Church.Benjamin,1,0,0,1,1,0,0,0
Clarke.Benjamin,1,0,0,1,1,0,1,1
Cleverly.Stephen,1,0,0,1,0,0,0,0
Cochran.John,1,0,0,1,0,0,1,0
Colesworthy.Gilbert,1,1,0,0,0,0,0,0
Collier.Gershom,1,0,0,0,0,0,0,1
Collins.Ezra,1,0,0,0,0,0,0,1
Collson.Adam,1,0,1,0,0,0,0,1
Condy.JamesFoster,1,0,0,0,0,0,0,1
Cooper.Samuel,1,0,0,1,0,0,0,0
Cooper.William,1,0,0,1,0,1,1,1
Crafts.Thomas,1,0,0,0,0,1,0,0
Crane.John,1,1,0,0,0,0,0,1
Davis.Caleb,1,0,1,1,0,1,0,1
Davis.Edward,1,1,0,0,0,0,0,0
Davis.Robert,1,1,0,0,0,0,0,0
Davis.William,1,0,0,1,0,0,0,0
Dawes.Thomas,1,0,0,0,0,1,0,0
Dennie.William,1,0,0,0,0,0,0,1
Deshon.Moses,1,0,0,0,0,0,1,1
Dexter.Samuel,1,0,0,0,0,0,0,1
Dolbear.Edward,1,0,0,0,0,0,1,1
Doyle.Peter,1,0,0,0,0,1,0,0
Eaton.Joseph,1,0,0,0,0,1,0,0
Eayres.Joseph,1,0,0,0,0,1,0,0
Eckley.Unknown,1,0,0,0,0,1,0,0
Edes.Benjamin,1,1,0,0,0,0,0,0
Emmes.Samuel,1,0,0,1,0,0,0,0
Etheridge.William,1,0,0,0,0,1,0,0
Fenno.Samuel,1,0,0,0,0,0,0,1
Ferrell.Ambrose,1,0,0,0,0,0,0,1
Field.Joseph,1,0,0,0,0,0,0,1
Flagg.Josiah,1,1,0,0,0,0,0,0
Fleet.Thomas,1,0,0,0,0,0,0,1
Foster.Bos,1,0,0,0,0,0,0,1
Foster.Samuel,1,0,0,0,0,1,0,0
Frothingham.Nathaniel,1,1,0,0,0,0,0,0
Gammell.John,1,1,0,0,0,0,0,0
Gill.Moses,1,0,0,1,0,0,0,0
Gore.Samuel,1,0,0,0,0,1,0,0
Gould.William,1,1,0,0,0,0,0,0
Graham.James,1,1,0,0,0,0,0,0
Grant.Moses,1,0,0,0,0,1,0,0
Gray.Wait,1,0,0,1,0,0,0,0
Greene.Nathaniel,1,0,0,1,0,0,0,0
Greenleaf.Joseph,1,0,0,1,0,0,0,0
Greenleaf.William,1,0,1,1,0,1,0,1
Greenough.Newn,1,0,0,1,0,0,0,1
Ham.William,1,1,0,0,0,0,0,0
Hammond.Samuel,1,0,0,1,0,0,0,0
Hancock.Eben,1,0,0,1,1,0,0,0
Hancock.John,1,0,0,1,1,0,1,1
Hendley.William,1,0,0,1,0,0,0,0
Hewes.George,1,0,0,1,0,0,1,0
Hickling.William,1,1,0,0,0,0,0,0
Hicks.John,1,0,0,0,0,0,0,1
Hill.Alexander,1,0,0,0,0,0,0,1
Hitchborn.Nathaniel,1,0,1,0,0,0,0,1
Hitchborn.Thomas,1,0,0,0,0,0,0,1
Hobbs.Samuel,1,0,0,1,0,0,0,0
Hoffins.John,1,0,0,1,0,1,1,1
Holmes.Nathaniel,1,0,0,0,0,1,0,0
Hooton.John,1,1,0,0,0,0,0,1
Hopkins.Caleb,1,0,1,1,0,1,0,1
Hoskins.William,1,1,0,0,0,0,0,0
