Error186.75694180523675 a = 1.9596, Multipliers,,68.32091088,23.50913361,0.61354226,0.591997894,0.870195631,25.49947896,43.81403432
,Coordinates,,-2.955974413,-2.298684697,-0.878498413,0.317731476,1.293318314,2.396000861,3.157130454
Multipliers,Coordinates,,TeaParty,NorthCaucus,LongRoomClub,BostonCommittee,LoyalNine,LondonEnemies,StAndrewsLodge
0.236346335,-4.996373418,Holmes.Nathaniel,1,        ,        ,        ,        ,        ,        
0.228656796,-4.985630683,Ivers.James,1,        ,        ,        ,        ,        ,        
0.223958158,-4.976607961,Spear.Thomas,1,        ,        ,        ,        ,        ,        
0.223406215,-4.976176458,Williams.Jeremiah,1,        ,        ,        ,        ,        ,        
0.222903285,-4.973378197,Palmer.Joseph,1,        ,        ,        ,        ,        ,        
0.216138357,-4.962539317,Slater.Peter,1,        ,        ,        ,        ,        ,        
0.214559602,-4.959958703,Russell.William,1,        ,        ,        ,        ,        ,        
0.211023678,-4.954988936,Etheridge.William,1,        ,        ,        ,        ,        ,        
0.210814087,-4.95460783,Newell.Eliphelet,1,        ,        ,        ,        ,        ,        
0.21063909,-4.952945415,Pierce.William,1,        ,        ,        ,        ,        ,        
0.209706191,-4.952440752,Bradlee.David,1,        ,        ,        ,        ,        ,        
0.209821468,-4.951973979,Grant.Moses,1,        ,        ,        ,        ,        ,        
0.20942052,-4.95122314,Morse.Anthony,1,        ,        ,        ,        ,        ,        
0.208727476,-4.950318236,Dawes.Thomas,1,        ,        ,        ,        ,        ,        
0.206922796,-4.947739824,Jarvis.Edward,1,        ,        ,        ,        ,        ,        
0.208275212,-4.947608102,Burton.Benjamin,1,        ,        ,        ,        ,        ,        
0.204497292,-4.944170378,Eaton.Joseph,1,        ,        ,        ,        ,        ,        
0.203389526,-4.940418711,Roby.Joseph,1,        ,        ,        ,        ,        ,        
0.200374302,-4.938758094,Stearns.Phineas,1,        ,        ,        ,        ,        ,        
0.202096543,-4.937945102,Porter.Thomas,1,        ,        ,        ,        ,        ,        
0.203018109,-4.937680037,Parker.Jonathan,1,        ,        ,        ,        ,        ,        
0.200885169,-4.936322042,Willis.Nathaniel,1,        ,        ,        ,        ,        ,        
0.199776748,-4.934582856,Foster.Samuel,1,        ,        ,        ,        ,        ,        
0.19993107,-4.931969128,Barnard.Samuel,1,        ,        ,        ,        ,        ,        
0.197376728,-4.931434254,Campbell.Nicholas,1,        ,        ,        ,        ,        ,        
0.198895746,-4.929683178,MacKintosh.Capt,1,        ,        ,        ,        ,        ,        
0.197810058,-4.929464198,Randall.John,1,        ,        ,        ,        ,        ,        
0.198020456,-4.928689555,Bruce.Stephen,1,        ,        ,        ,        ,        ,        
0.196767471,-4.927335575,Doyle.Peter,1,        ,        ,        ,        ,        ,        
0.195506851,-4.927237855,MacNeil.Archibald,1,        ,        ,        ,        ,        ,        
0.197137706,-4.9270446,Jenkins.John,1,        ,        ,        ,        ,        ,        
0.19386856,-4.926636984,Williams.Thomas,1,        ,        ,        ,        ,        ,        
0.195653571,-4.925236166,Bradlee.Nathaniel,1,        ,        ,        ,        ,        ,        
0.194767872,-4.923897849,Eckley.Unknown,1,        ,        ,        ,        ,        ,        
0.194810286,-4.92288264,Moore.Thomas,1,        ,        ,        ,        ,        ,        
0.192313805,-4.922059601,Bewer.James,1,        ,        ,        ,        ,        ,        
0.194391942,-4.921876392,Crafts.Thomas,1,        ,        ,        ,        ,        ,        
0.194681015,-4.921373508,Melville.Thomas,1,        ,        ,        ,        ,        ,        
0.192744384,-4.919655868,Loring.Matthew,1,        ,        ,        ,        ,        ,        
0.191775229,-4.917322352,Wheeler.Josiah,1,        ,        ,        ,        ,        ,        
0.190593628,-4.917078408,Peters.John,1,        ,        ,        ,        ,        ,        
0.189983285,-4.915189577,Gore.Samuel,1,        ,        ,        ,        ,        ,        
0.190272363,-4.914443282,Wyeth.Joshua,1,        ,        ,        ,        ,        ,        
0.190875766,-4.914270271,Prentiss.Henry,1,        ,        ,        ,        ,        ,        
0.189353162,-4.913173846,Inglish.Alexander,1,        ,        ,        ,        ,        ,        
0.188959843,-4.912203782,Sessions.Robert,1,        ,        ,        ,        ,        ,        
0.186943989,-4.910712738,Stevens.Ebenezer,1,        ,        ,        ,        ,        ,        
0.187590252,-4.910309663,Pitts.Lendall,1,        ,        ,        ,        ,        ,        
0.187319819,-4.910079927,Lambert.John,1,        ,        ,        ,        ,        ,        
0.187305619,-4.906940562,Mountford.Joseph,1,        ,        ,        ,        ,        ,        
0.185054423,-4.905079746,Eayres.Joseph,1,        ,        ,        ,        ,        ,        
0.183583242,-4.903235988,Shed.Joseph,1,        ,        ,        ,        ,        ,        
0.184920026,-4.903133582,Purkitt.Henry,1,        ,        ,        ,        ,        ,        
0.184340615,-4.902053617,Russell.John,1,        ,        ,        ,        ,        ,        
0.183378637,-4.901307767,Starr.James,1,        ,        ,        ,        ,        ,        
0.184155345,-4.900215668,Bradlee.Thomas,1,        ,        ,        ,        ,        ,        
0.182611793,-4.899311162,Sprague.Samuel,1,        ,        ,        ,        ,        ,        
0.181295106,-4.898964065,Isaac.Pierce,1,        ,        ,        ,        ,        ,        
0.18212137,-4.898165,Payson.Joseph,1,        ,        ,        ,        ,        ,        
0.18183187,-4.896898156,Hunnewell.Jonathan,1,        ,        ,        ,        ,        ,        
0.174482711,-4.883401984,Prince.John,1,        ,        ,        ,        ,        ,        
0.173375277,-4.880570861,May.John,1,        ,        ,        ,        ,        ,        
0.17481653,-4.880449374,Machin.Thomas,1,        ,        ,        ,        ,        ,        
0.172366485,-4.877367573,Bolter.Thomas,1,        ,        ,        ,        ,        ,        
0.169142938,-4.86935545,Spurr.John,1,        ,        ,        ,        ,        ,        
0.168238787,-4.867101624,Bradlee.Josiah,1,        ,        ,        ,        ,        ,        
0.152375926,-4.8273849,Simpson.Benjamin,1,        ,        ,        ,        ,        ,        
0.061311603,-1.525879646,Story.Elisha,1,1,        ,        ,        ,        ,        
0.061579233,-1.522589421,Swan.James,1,1,        ,        ,        ,        ,        
0.14592517,-0.804147735,Breck.William,        ,1,        ,        ,        ,        ,        
0.147320171,-0.803313581,Greene.Nathaniel,        ,1,        ,        ,        ,        ,        
0.145974854,-0.803162646,Hobbs.Samuel,        ,1,        ,        ,        ,        ,        
0.147366301,-0.802716805,Stoddard.Asa,        ,1,        ,        ,        ,        ,        
0.146446494,-0.802704267,Peck.Thomas,        ,1,        ,        ,        ,        ,        
0.147031212,-0.802671561,Chrysty.Thomas,        ,1,        ,        ,        ,        ,        
0.146549543,-0.802655087,Burt.Benjamin,        ,1,        ,        ,        ,        ,        
0.146785381,-0.80259687,Allen.Dr,        ,1,        ,        ,        ,        ,        
